timestamp	parent_pid	parent_cpu_percent	parent_rss_kib	parent_state	descendant_cpu_percent	descendant_rss_kib	visible_phase_marker	quiet_eligible
2026-09-25T22:15:49+09:00	90809	11.1	298016	S+	0.0	32576	running-terminal	false
2026-09-25T22:15:54+09:00	90809	45.2	343776	R+	24.7	80672	running-terminal	false
2026-09-25T22:15:59+09:00	90809	8.3	401200	S+	0.0	36272	running-terminal	false
2026-09-25T22:16:05+09:00	90809	11.1	267968	S+	0.0	32688	running-terminal	false
2026-09-25T22:16:10+09:00	90809	6.2	383424	S+	0.0	33328	running-terminal	false
2026-09-25T22:16:15+09:00	90809	28.4	251376	R+	268.4	395504	running-terminal	false
2026-09-25T22:16:20+09:00	90809	10.2	213072	S+	339.6	443408	running-terminal	false
2026-09-25T22:16:26+09:00	90809	21.5	217056	R+	81.5	161040	running-terminal	false
2026-09-25T22:16:31+09:00	90809	17.6	235952	S+	278.1	315088	running-terminal	false
2026-09-25T22:16:36+09:00	90809	21.4	224736	S+	162.5	201264	running-terminal	false
2026-09-25T22:16:42+09:00	90809	23.9	266496	S+	237.5	305504	running-terminal	false
2026-09-25T22:16:47+09:00	90809	46.2	265568	R+	43.5	92896	running-terminal	false
2026-09-25T22:16:52+09:00	90809	13.7	202944	S+	100.8	157664	running-terminal	false
2026-09-25T22:16:58+09:00	90809	11.1	146832	R+	120.0	249408	running-terminal	false
2026-09-25T22:17:03+09:00	90809	22.8	171792	R+	225.2	455904	running-terminal	false
2026-09-25T22:17:08+09:00	90809	23.7	226272	S+	114.4	227664	running-terminal	false
2026-09-25T22:17:13+09:00	90809	13.2	217136	S+	54.5	179904	running-terminal	false
2026-09-25T22:17:19+09:00	90809	33.9	283168	R+	0.2	41120	running-terminal	false
2026-09-25T22:17:24+09:00	90809	43.9	307744	R+	210.7	269920	running-terminal	false
2026-09-25T22:17:29+09:00	90809	55.7	287296	R+	74.4	192640	running-terminal	false
2026-09-25T22:17:35+09:00	90809	43.5	314288	R+	15.3	55296	running-terminal	false
2026-09-25T22:17:40+09:00	90809	25.7	219088	R+	300.6	371360	running-terminal	false
2026-09-25T22:17:45+09:00	90809	16.6	232144	R+	319.1	354816	running-terminal	false
2026-09-25T22:17:51+09:00	90809	21.3	217104	R+	90.8	158752	running-terminal	false
2026-09-25T22:17:56+09:00	90809	8.1	93200	R+	0.0	37216	running-terminal	false
2026-09-25T22:18:01+09:00	90809	77.5	541168	R+	0.0	36192	running-terminal	false
2026-09-25T22:18:06+09:00	90809	6.3	324048	R+	0.0	32080	running-terminal	false
2026-09-25T22:18:12+09:00	90809	37.2	239696	R+	0.0	34720	running-terminal	false
2026-09-25T22:18:17+09:00	90809	26.4	175984	R+	185.3	408304	running-terminal	false
2026-09-25T22:18:22+09:00	90809	16.2	239952	S+	274.6	308496	running-terminal	false
2026-09-25T22:18:28+09:00	90809	23.3	308496	R+	228.9	224112	running-terminal	false
2026-09-25T22:18:34+09:00	90809	23.3	330480	R+	283.7	362224	running-terminal	false
2026-09-25T22:18:39+09:00	90809	52.8	306736	R+	79.9	166032	running-terminal	false
2026-09-25T22:18:45+09:00	90809	25.8	218720	R+	237.1	302544	running-terminal	false
2026-09-25T22:18:50+09:00	90809	64.6	329392	R+	137.9	197920	running-terminal	false
2026-09-25T22:18:56+09:00	90809	32.9	334624	R+	292.7	302288	running-terminal	false
2026-09-25T22:19:01+09:00	90809	43.3	335824	R+	21.9	92944	running-terminal	false
2026-09-25T22:19:07+09:00	90809	27.4	206624	R+	250.2	398496	running-terminal	false
2026-09-25T22:19:12+09:00	90809	18.4	254064	R+	67.8	155600	running-terminal	false
2026-09-25T22:19:18+09:00	90809	25.4	187776	S+	209.7	337248	running-terminal	false
2026-09-25T22:19:23+09:00	90809	32.6	303040	R+	279.2	434368	running-terminal	false
2026-09-25T22:19:28+09:00	90809	86.3	447296	R+	0.0	36400	running-terminal	false
2026-09-25T22:19:33+09:00	90809	29.9	439344	S+	0.0	39952	running-terminal	false
2026-09-25T22:19:38+09:00	90809	5.3	352176	R+	0.0	32112	running-terminal	false
2026-09-25T22:19:43+09:00	90809	8.0	323488	S+	0.0	32224	running-terminal	false
2026-09-25T22:19:48+09:00	90809	16.5	240752	R+	102.5	205008	running-terminal	false
2026-09-25T22:19:53+09:00	90809	60.3	400432	S+	0.0	32272	running-terminal	false
2026-09-25T22:19:59+09:00	90809	15.7	271664	R+	91.5	175584	running-terminal	false
2026-09-25T22:20:04+09:00	90809	17.2	169392	R+	0.0	81072	running-terminal	false
2026-09-25T22:20:09+09:00	90809	18.1	208784	R+	45.9	126544	running-terminal	false
2026-09-25T22:20:15+09:00	90809	20.0	217328	S+	249.0	303376	running-terminal	false
2026-09-25T22:20:20+09:00	90809	14.9	215184	S+	0.0	80240	running-terminal	false
2026-09-25T22:20:26+09:00	90809	14.6	241824	R+	224.2	312128	running-terminal	false
2026-09-25T22:20:31+09:00	90809	54.4	455536	R+	322.9	375216	running-terminal	false
2026-09-25T22:20:36+09:00	90809	6.5	294864	S+	1.9	210496	running-terminal	false
2026-09-25T22:20:41+09:00	90809	8.7	234592	S+	6.5	160128	running-terminal	false
2026-09-25T22:20:46+09:00	90809	9.8	205472	S+	94.8	302096	running-terminal	false
2026-09-25T22:20:52+09:00	90809	19.2	235200	R+	108.0	341088	running-terminal	false
2026-09-25T22:20:57+09:00	90809	21.7	200528	S+	0.5	68608	running-terminal	false
2026-09-25T22:21:02+09:00	90809	50.1	311648	R+	18.4	224208	running-terminal	false
2026-09-25T22:21:08+09:00	90809	24.6	240192	S+	31.8	140576	running-terminal	false
2026-09-25T22:21:13+09:00	90809	17.1	144304	S+	76.4	220784	running-terminal	false
2026-09-25T22:21:18+09:00	90809	89.7	417216	S+	3.0	96336	running-terminal	false
2026-09-25T22:21:23+09:00	90809	34.8	488160	R+	0.0	36704	running-terminal	false
2026-09-25T22:21:28+09:00	90809	5.9	268176	S+	0.0	29488	running-terminal	false
2026-09-25T22:21:34+09:00	90809	6.4	352272	R+	0.0	30080	running-terminal	false
2026-09-25T22:21:39+09:00	90809	12.5	263216	S+	3.5	42016	running-terminal	false
2026-09-25T22:21:44+09:00	90809	8.5	284400	S+	0.0	29376	running-terminal	false
2026-09-25T22:21:49+09:00	90809	8.1	368000	S+	0.0	29968	running-terminal	false
2026-09-25T22:21:54+09:00	90809	7.1	331456	S+	0.0	32064	running-terminal	false
2026-09-25T22:21:59+09:00	90809	9.8	259664	S+	0.0	32064	running-terminal	false
2026-09-25T22:22:04+09:00	90809	11.7	222288	S+	0.0	32016	running-terminal	false
2026-09-25T22:22:09+09:00	90809	6.9	254176	S+	0.0	32016	running-terminal	false
2026-09-25T22:22:15+09:00	90809	16.6	347040	S+	0.0	32016	running-terminal	false
2026-09-25T22:22:20+09:00	90809	30.5	360496	S+	0.0	29280	running-terminal	false
2026-09-25T22:22:25+09:00	90809	5.8	404992	S+	0.0	40000	running-terminal	false
2026-09-25T22:22:30+09:00	90809	6.4	444448	R+	0.0	32864	running-terminal	false
2026-09-25T22:22:35+09:00	90809	92.4	492864	R+	0.0	31968	running-terminal	false
2026-09-25T22:22:40+09:00	90809	95.7	512048	R+	0.0	30896	running-terminal	false
2026-09-25T22:22:46+09:00	90809	62.9	385472	R+	157.6	336400	running-terminal	false
2026-09-25T22:22:51+09:00	90809	39.1	233312	R+	213.0	424144	running-terminal	false
2026-09-25T22:22:56+09:00	90809	52.7	272640	R+	225.6	440960	running-terminal	false
2026-09-25T22:23:01+09:00	90809	89.4	448096	R+	1.4	41760	running-terminal	false
2026-09-25T22:23:07+09:00	90809	94.9	553744	R+	0.0	32240	running-terminal	false
2026-09-25T22:23:12+09:00	90809	56.9	461120	S+	6.3	47936	running-terminal	false
2026-09-25T22:23:17+09:00	90809	7.6	300304	S+	0.0	32176	running-terminal	false
2026-09-25T22:23:22+09:00	90809	33.6	409024	R+	0.0	40224	running-terminal	false
2026-09-25T22:23:27+09:00	90809	18.1	522976	S+	0.0	40224	running-terminal	false
2026-09-25T22:23:32+09:00	90809	5.5	222560	S+	7.3	139344	running-terminal	false
2026-09-25T22:23:37+09:00	90809	6.8	325760	S+	0.0	31968	running-terminal	false
2026-09-25T22:23:42+09:00	90809	10.1	242896	S+	0.0	32768	running-terminal	false
